"","state","year","per_diff"
"136","Illinois",2015,97.4118663807192
"137","Illinois",2016,89.9672558162394
"138","Illinois",2017,101.867716222682
"139","Illinois",2018,98.3852722426137
"140","Illinois",2019,91.0964892716284
"141","Indiana",2010,108.984047019312
"142","Indiana",2011,110.506826363043
"143","Indiana",2012,122.203874501591
"144","Indiana",2013,88.9661624384732
"145","Indiana",2014,94.7912998915798
"146","Indiana",2015,112.85661166032
"147","Indiana",2016,101.702463903455
"148","Indiana",2017,115.615364701615
"149","Indiana",2018,120.653382909079
"150","Indiana",2019,102.988547624553
"151","Iowa",2010,98.5744840924399
"152","Iowa",2011,85.5823201997824
"153","Iowa",2012,89.9524910849578
"154","Iowa",2013,79.6015423837811
"155","Iowa",2014,68.4294917911453
"156","Iowa",2015,85.3003849783145
"157","Iowa",2016,71.7326028197542
"158","Iowa",2017,81.2384909843719
"159","Iowa",2018,94.5245559848552
"160","Iowa",2019,101.989283179054
"161","Kansas",2010,95.5567528340682
"162","Kansas",2011,82.561272023943
"163","Kansas",2012,101.583312390048
"164","Kansas",2013,75.011884214254
"165","Kansas",2014,83.1159440442751
"166","Kansas",2015,105.863580064173
"167","Kansas",2016,89.562282062619
"168","Kansas",2017,109.755784537009
"169","Kansas",2018,116.268689729851
"170","Kansas",2019,101.730479574261
"171","Kentucky",2010,131.055504890877
"172","Kentucky",2011,131.229969942473
"173","Kentucky",2012,123.475724639454
"174","Kentucky",2013,103.916653742996
"175","Kentucky",2014,107.827292299525
"176","Kentucky",2015,126.341684738947
"177","Kentucky",2016,100.329379526439
"178","Kentucky",2017,110.312063825476
"179","Kentucky",2018,105.593853036238
"180","Kentucky",2019,90.3117168496626
"181","Louisiana",2010,118.334007628695
"182","Louisiana",2011,117.249780063612
"183","Louisiana",2012,126.334757447371
"184","Louisiana",2013,96.5629287473209
"185","Louisiana",2014,102.040611119813
"186","Louisiana",2015,126.343858200264
"187","Louisiana",2016,119.631226328168
"188","Louisiana",2017,123.78972222298
"189","Louisiana",2018,112.515501761
"190","Louisiana",2019,107.86588959191
"191","Maine",2010,105.785308880453
"192","Maine",2011,109.631912914289
"193","Maine",2012,115.902056196568
"194","Maine",2013,53.441622026381
"195","Maine",2014,84.0172664465157
"196","Maine",2015,104.124091047807
"197","Maine",2016,111.345340823536
"198","Maine",2017,114.607902293116
"199","Maine",2018,125.462537054073
"200","Maine",2019,129.245813610743
"201","Maryland",2010,97.0134680887537
"202","Maryland",2011,90.9662309386324
"203","Maryland",2012,103.953093257967
"204","Maryland",2013,84.6149231471364
"205","Maryland",2014,96.1749237666228
"206","Maryland",2015,104.994281357225
"207","Maryland",2016,96.076330671205
"208","Maryland",2017,99.7589819975533
"209","Maryland",2018,92.216751366186
"210","Maryland",2019,86.2692976178305
"211","Massachusetts",2010,98.0028161972298
"212","Massachusetts",2011,84.5025157398383
"213","Massachusetts",2012,93.8636115440746
"214","Massachusetts",2013,71.6189033985432
"215","Massachusetts",2014,86.7762276256843
"216","Massachusetts",2015,102.682799347828
"217","Massachusetts",2016,90.4983459823594
"218","Massachusetts",2017,89.7957130356972
"219","Massachusetts",2018,74.2213831032153
"220","Massachusetts",2019,70.7192042402362
"221","Michigan",2010,99.4743410982831
"222","Michigan",2011,99.6786046526099
"223","Michigan",2012,99.5637845539855
"224","Michigan",2013,79.249279166468
"225","Michigan",2014,81.8410585274779
"226","Michigan",2015,97.2131593151324
"227","Michigan",2016,89.7742948436011
"228","Michigan",2017,90.632383320484
"229","Michigan",2018,103.787329064613
"230","Michigan",2019,96.6673782170585
"231","Minnesota",2010,93.9569793960654
"232","Minnesota",2011,90.6383846624516
"233","Minnesota",2012,108.41431165194
"234","Minnesota",2013,78.1064967400422
"235","Minnesota",2014,95.6062514385912
"236","Minnesota",2015,109.659461575262
"237","Minnesota",2016,87.6922788200762
"238","Minnesota",2017,107.902968956269
"239","Minnesota",2018,101.668488863903
"240","Minnesota",2019,86.5127384214668
"241","Mississippi",2010,126.75812690709
"242","Mississippi",2011,129.127811300055
"243","Mississippi",2012,144.277563080085
"244","Mississippi",2013,114.246110666288
"245","Mississippi",2014,106.543371586088
"246","Mississippi",2015,118.834791953805
"247","Mississippi",2016,109.270110242805
"248","Mississippi",2017,119.998500007031
"249","Mississippi",2018,121.592911271147
"250","Mississippi",2019,121.84040575954
"251","Missouri",2010,101.687609890668
"252","Missouri",2011,86.3809005165643
"253","Missouri",2012,98.689861225026
"254","Missouri",2013,99.7629853286987
"255","Missouri",2014,101.875281479275
"256","Missouri",2015,123.854841946783
"257","Missouri",2016,111.903666721895
"258","Missouri",2017,118.210639135617
"259","Missouri",2018,111.766694590215
"260","Missouri",2019,99.7766696289777
"261","Montana",2010,132.578664404533
"262","Montana",2011,127.951439479624
"263","Montana",2012,117.230632235085
"264","Montana",2013,99.8738511443503
"265","Montana",2014,112.715687140385
"266","Montana",2015,112.16061435108
"267","Montana",2016,108.433629144234
"268","Montana",2017,121.045180420703
"269","Montana",2018,118.170418763948
"270","Montana",2019,124.0832482573
"271","Nebraska",2010,68.5857095540634
"272","Nebraska",2011,95.6752629710501
"273","Nebraska",2012,108.561143199989
"274","Nebraska",2013,88.003697010208
"275","Nebraska",2014,91.8222162117918
"276","Nebraska",2015,110.181456151849
"277","Nebraska",2016,95.7775513801459
"278","Nebraska",2017,109.927193081178
"279","Nebraska",2018,98.7185255739755
"280","Nebraska",2019,89.1900838605267
"281","Nevada",2010,100.92015347766
"282","Nevada",2011,97.0851377446668
"283","Nevada",2012,90.8318177764163
"284","Nevada",2013,103.888806148728
"285","Nevada",2014,113.269419467753
"286","Nevada",2015,117.18404404669
"287","Nevada",2016,107.739652254193
"288","Nevada",2017,110.646331829198
"289","Nevada",2018,88.9439117729595
"290","Nevada",2019,73.7452774688933
"291","New Hampshire",2010,112.610141440765
"292","New Hampshire",2011,112.790914168684
"293","New Hampshire",2012,123.270803012723
"294","New Hampshire",2013,100.157830925559
"295","New Hampshire",2014,94.4468312759454
"296","New Hampshire",2015,114.36834528642
"297","New Hampshire",2016,95.847012779849
"298","New Hampshire",2017,97.9630402777473
"299","New Hampshire",2018,110.398142302302
"300","New Hampshire",2019,112.160232150231
"301","New Jersey",2010,88.1640875196208
"302","New Jersey",2011,83.7895814746895
"303","New Jersey",2012,82.7199914933808
"304","New Jersey",2013,86.5227661726483
"305","New Jersey",2014,90.9005872946195
"306","New Jersey",2015,90.7564785373419
"307","New Jersey",2016,91.885970771327
"308","New Jersey",2017,93.8339311338521
"309","New Jersey",2018,98.5868536756338
"310","New Jersey",2019,89.8282127063055
"311","New Mexico",2010,111.290802658994
"312","New Mexico",2011,86.8870433865055
"313","New Mexico",2012,110.182195346289
"314","New Mexico",2013,93.4241065953316
"315","New Mexico",2014,100.113340676532
"316","New Mexico",2015,115.264167326648
"317","New Mexico",2016,110.68514625717
"318","New Mexico",2017,110.893746196318
"319","New Mexico",2018,103.398058252427
"320","New Mexico",2019,96.6376429273071
"321","New York",2010,96.3390580651369
"322","New York",2011,101.509908074537
"323","New York",2012,107.965249777265
"324","New York",2013,96.2630456738862
"325","New York",2014,100.360882464421
"326","New York",2015,96.0583164655257
"327","New York",2016,107.758688755877
"328","New York",2017,108.632472933744
"329","New York",2018,110.359157839965
"330","New York",2019,95.4402235600515
"331","North Carolina",2010,87.8017603821806
"332","North Carolina",2011,98.9864413125451
"333","North Carolina",2012,111.977482757839
"334","North Carolina",2013,102.143747439409
"335","North Carolina",2014,105.148404861771
"336","North Carolina",2015,116.387168539992
"337","North Carolina",2016,116.687785076442
"338","North Carolina",2017,123.392585345907
"339","North Carolina",2018,103.887772350365
"340","North Carolina",2019,98.7084165281799
"341","North Dakota",2010,118.187603410971
"342","North Dakota",2011,118.631833921285
"343","North Dakota",2012,118.3488781779
"344","North Dakota",2013,83.0684621294836
"345","North Dakota",2014,97.8225307039995
"346","North Dakota",2015,121.273871946408
"347","North Dakota",2016,102.115885067099
"348","North Dakota",2017,117.030250551661
"349","North Dakota",2018,106.994016917681
"350","North Dakota",2019,133.554806551662
"351","Ohio",2010,101.6239495635
"352","Ohio",2011,96.5057409777812
"353","Ohio",2012,116.548773983331
"354","Ohio",2013,108.419648576178
"355","Ohio",2014,103.980646470721
"356","Ohio",2015,102.183551355077
"357","Ohio",2016,108.507990687348
"358","Ohio",2017,119.921015757389
"359","Ohio",2018,107.663283523709
"360","Ohio",2019,94.6422614149412
"361","Oklahoma",2010,96.2886907926822
"362","Oklahoma",2011,114.346493869465
"363","Oklahoma",2012,131.548990725866
"364","Oklahoma",2013,105.823962124519
"365","Oklahoma",2014,121.466215652314
"366","Oklahoma",2015,130.477123849999
"367","Oklahoma",2016,108.792475647176
"368","Oklahoma",2017,119.84711710126
"369","Oklahoma",2018,87.4901301803899
"370","Oklahoma",2019,92.7277742024455
"371","Oregon",2010,79.8882923718056
"372","Oregon",2011,67.013409531148
"373","Oregon",2012,86.1456870482961
"374","Oregon",2013,77.1881692122803
"375","Oregon",2014,102.423070078544
"376","Oregon",2015,60.091110513562
"377","Oregon",2016,69.486225397747
"378","Oregon",2017,88.1886840267444
"379","Oregon",2018,87.2785588020071
"380","Oregon",2019,85.6448243022327
"381","Pennsylvania",2010,102.938530115176
"382","Pennsylvania",2011,105.853420860825
"383","Pennsylvania",2012,120.63214220179
"384","Pennsylvania",2013,100.462289251943
"385","Pennsylvania",2014,113.582728352461
"386","Pennsylvania",2015,119.032701139699
"387","Pennsylvania",2016,96.605170300042
"388","Pennsylvania",2017,111.956600558797
"389","Pennsylvania",2018,109.871250364312
"390","Pennsylvania",2019,100.639441950994
"391","Rhode Island",2010,101.541554272352
"392","Rhode Island",2011,62.8464002228102
"393","Rhode Island",2012,78.9773981023232
"394","Rhode Island",2013,105.576776165011
"395","Rhode Island",2014,79.0211877051626
"396","Rhode Island",2015,74.6001465414244
"397","Rhode Island",2016,92.9162036786454
"398","Rhode Island",2017,101.989665373125
"399","Rhode Island",2018,107.944044313899
"400","Rhode Island",2019,102.885381794994
"401","South Carolina",2010,113.386369460145
"402","South Carolina",2011,102.90788976335
"403","South Carolina",2012,116.244319382473
"404","South Carolina",2013,107.017257761862
"405","South Carolina",2014,102.54892298786
"406","South Carolina",2015,124.958239877692
"407","South Carolina",2016,113.524097070196
"408","South Carolina",2017,119.407551423695
"409","South Carolina",2018,133.116791713072
"410","South Carolina",2019,119.718909885092
"411","South Dakota",2010,110.336419456616
"412","South Dakota",2011,105.101511801827
"413","South Dakota",2012,83.2291955716733
"414","South Dakota",2013,83.6234230136327
"415","South Dakota",2014,72.9133500113714
"416","South Dakota",2015,50.3681885125184
"417","South Dakota",2016,50.3326558364649
"418","South Dakota",2017,97.2183411660104
"419","South Dakota",2018,114.634973400559
"420","South Dakota",2019,130.539344207511
"421","Tennessee",2010,109.871314736388
"422","Tennessee",2011,116.862575320175
"423","Tennessee",2012,132.143941694503
"424","Tennessee",2013,106.981114347458
"425","Tennessee",2014,112.455091694756
"426","Tennessee",2015,114.858993419309
"427","Tennessee",2016,100.476170057788
"428","Tennessee",2017,115.473346816539
"429","Tennessee",2018,103.806258408923
"430","Tennessee",2019,89.8154588642775
"431","Texas",2010,102.89545256679
"432","Texas",2011,103.211206597343
"433","Texas",2012,123.415807157041
"434","Texas",2013,106.81957040649
"435","Texas",2014,113.202388925075
"436","Texas",2015,111.085402631709
"437","Texas",2016,115.902004896283
"438","Texas",2017,114.366733511436
"439","Texas",2018,93.2567857928366
"440","Texas",2019,85.8083726890242
"441","Utah",2010,123.441648121248
"442","Utah",2011,108.335239603778
"443","Utah",2012,108.752627629834
"444","Utah",2013,95.3382050952433
"445","Utah",2014,116.835255532989
"446","Utah",2015,104.954962464089
"447","Utah",2016,99.2382746249017
"448","Utah",2017,114.415972331394
"449","Utah",2018,118.60158991473
"450","Utah",2019,112.964702807972
"451","Vermont",2010,104.193738924985
"452","Vermont",2011,91.7819342940116
"453","Vermont",2012,112.936723926955
"454","Vermont",2013,110.239231890453
"455","Vermont",2014,98.0058256777952
"456","Vermont",2015,121.002982905077
"457","Vermont",2016,101.226421860432
"458","Vermont",2017,104.379638340128
"459","Vermont",2018,118.357585451835
"460","Vermont",2019,119.390886763821
"461","Virginia",2010,100.563061392971
"462","Virginia",2011,96.6711426277961
"463","Virginia",2012,116.182381648272
"464","Virginia",2013,99.061006509658
"465","Virginia",2014,110.638337710415
"466","Virginia",2015,105.713145665264
"467","Virginia",2016,90.5454247158523
"468","Virginia",2017,106.942391621868
"469","Virginia",2018,94.2737527158008
"470","Virginia",2019,86.5634423810573
"471","Washington",2010,82.253028599975
"472","Washington",2011,84.9892328506128
"473","Washington",2012,94.3579093111804
"474","Washington",2013,75.9268140861455
"475","Washington",2014,81.0762817973675
"476","Washington",2015,88.6263833911551
"477","Washington",2016,100.170978071316
"478","Washington",2017,91.9365246056823
"479","Washington",2018,88.0490644606677
"480","Washington",2019,75.2176139272914
"481","West Virginia",2010,125.343285010287
"482","West Virginia",2011,132.368154817594
"483","West Virginia",2012,136.293105991327
"484","West Virginia",2013,89.961580090638
"485","West Virginia",2014,122.764282841788
"486","West Virginia",2015,130.756679734509
"487","West Virginia",2016,116.312398253213
"488","West Virginia",2017,125.273118987718
"489","West Virginia",2018,140.822290078055
"490","West Virginia",2019,142.529779392126
"491","Wisconsin",2010,113.194301824088
"492","Wisconsin",2011,105.105266175195
"493","Wisconsin",2012,120.085260055772
"494","Wisconsin",2013,107.62758264694
"495","Wisconsin",2014,115.650150557661
"496","Wisconsin",2015,127.528381426755
"497","Wisconsin",2016,106.635727629184
"498","Wisconsin",2017,119.510156243267
"499","Wisconsin",2018,111.931781196433
"500","Wisconsin",2019,100.760925140606
"501","Wyoming",2010,129.582300209804
"502","Wyoming",2011,130.920372285419
"503","Wyoming",2012,132.428060490035
"504","Wyoming",2013,121.338030487604
"505","Wyoming",2014,122.601739433703
"506","Wyoming",2015,120.061973783459
"507","Wyoming",2016,104.253939731174
"508","Wyoming",2017,112.625134481877
"509","Wyoming",2018,128.229512268687
"510","Wyoming",2019,136.587293829658
