"","state","year","per_diff","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"51","Colorado",2010,86.8722018290225,0.1221,0.0654,0.1541,0.0384,0.01,0.0109,0.0129,0.0195,0.0206,0.1187,0.0221,0.008,0.0306,0.0132,0.0214,0.119,0.099,5e-04,0.0114,0.0326,0.0198,0.0277,4e-04,0.0218
"52","Colorado",2011,65.5888597061994,0.134,0.0732,0.1507,0.0425,0.0111,0.0106,0.0157,0.019,0.019,0.11,0.0186,0.0079,0.0259,0.0101,0.0235,0.12,0.0974,5e-04,0.0084,0.0294,0.0195,0.0303,4e-04,0.0222
"53","Colorado",2012,64.9444063794672,0.1274,0.0734,0.1542,0.0446,0.011,0.0112,0.0144,0.03,0.0194,0.1132,0.0184,0.0078,0.0257,0.0112,0.0212,0.1011,0.0988,5e-04,0.0096,0.0314,0.0205,0.0297,8e-04,0.0248
"54","Colorado",2013,67.2206708924577,0.1176,0.0651,0.1151,0.0332,0.0096,0.0113,0.0131,0.029,0.0219,0.1066,0.02,0.0098,0.043,0.014,0.0306,0.1111,0.1109,8e-04,0.0142,0.0358,0.0221,0.0405,5e-04,0.0241
"55","Colorado",2014,78.3536044712688,0.1101,0.0609,0.1189,0.0332,0.0108,0.0118,0.0094,0.0254,0.0222,0.1014,0.0195,0.0095,0.049,0.0158,0.0339,0.1156,0.1018,8e-04,0.014,0.0355,0.0271,0.0477,6e-04,0.0252
"56","Colorado",2015,86.1242933622027,0.1106,0.0645,0.1267,0.0286,0.0095,0.011,0.0059,0.0257,0.0209,0.129,0.0207,0.0107,0.0465,0.0139,0.0189,0.1214,0.0991,6e-04,0.0098,0.0312,0.0188,0.0534,5e-04,0.0221
"57","Colorado",2016,88.2383958237819,0.1051,0.0604,0.1026,0.0257,0.0092,0.0107,0.0056,0.0252,0.0195,0.1402,0.0201,0.0118,0.0452,0.0134,0.0148,0.1165,0.1018,7e-04,0.0112,0.0321,0.0197,0.0834,5e-04,0.0244
"58","Colorado",2017,91.291174137505,0.105,0.0642,0.1097,0.0282,0.0092,0.01,0.0058,0.0241,0.0191,0.1424,0.0218,0.0117,0.0477,0.0139,0.0147,0.1091,0.1067,6e-04,0.0112,0.0339,0.021,0.066,5e-04,0.0235
"59","Colorado",2018,69.6167229772427,0.1096,0.0624,0.1091,0.0304,0.0085,0.0112,0.0063,0.0314,0.0216,0.0991,0.0216,0.0118,0.0516,0.0187,0.0281,0.1072,0.1095,7e-04,0.0139,0.0358,0.0212,0.062,6e-04,0.0276
"60","Colorado",2019,58.9335240845157,0.111,0.0641,0.104,0.0304,0.0085,0.0125,0.0065,0.029,0.0229,0.0907,0.0202,0.0124,0.0551,0.0208,0.0272,0.1081,0.1081,9e-04,0.0146,0.037,0.0238,0.0625,7e-04,0.0288
